Crop,N,P,K
rice,80,40,40
maize,80,40,20
chickpea,40,60,80
kidneybeans,20,60,20
pigeonpeas,20,60,20
mothbeans,20,40,20
mungbean,20,40,20
blackgram,40,60,20
lentil,20,60,20
pomegranate,20,10,40
banana,100,75,50
mango,20,20,30
grapes,20,125,200
watermelon,100,10,50
muskmelon,100,10,50
apple,20,125,200
orange,20,10,10
papaya,50,50,50
coconut,20,10,30
cotton,120,40,20
jute,80,40,40
coffee,100,20,30
bajra,20,60,20
cabbage,20,10,40
cucumber,100,75,50
fenugreek,20,20,30
garlic,40,60,80
ginger,20,60,20
onion,20,60,20
soyabean,20,40,20
spinach,100,10,50
tomato,100,10,50
wheat,20,125,200
tea,20,10,10
cashew,50,50,50
sugracane,20,60,20
potatoes,20,60,20
turmeric,20,40,20
okra,20,40,20
brinjal,40,60,20
litchi,20,60,20
