Soil Type,Temperature,Rainfall,Suitable Crop Pairs
Loamy,23.4,432.61,Corn + Beans
Loamy,27.64,456.61,Lettuce + Carrots
Loamy,24.39,683.49,Spinach + Strawberry
Loamy,20.86,644.91,Cucumber + Watermelon
Loamy,26.65,674.19,Cucumber + Watermelon
Loamy,20.68,612.41,Lettuce + Carrots
Loamy,29.26,615.18,Corn + Beans
Loamy,27.02,497.55,Lettuce + Carrots
Loamy,24.57,492.4,Corn + Beans
Loamy,28.17,559.17,Corn + Beans
Loamy,29.64,464.13,Corn + Beans
Loamy,27.29,505.25,Spinach + Strawberry
Loamy,23.57,515.53,Lettuce + Carrots
Loamy,24.6,624.88,Spinach + Strawberry
Loamy,28.65,474.28,Cucumber + Watermelon
Loamy,29.67,672.44,Lettuce + Carrots
Loamy,26.66,481.28,Cucumber + Watermelon
Loamy,20.31,431.76,Corn + Beans
Loamy,21.8,520.28,Lettuce + Carrots
Loamy,28.23,613.15,Cucumber + Watermelon
Loamy,22.25,455.1,Lettuce + Carrots
Loamy,26.62,573.19,Cucumber + Watermelon
Loamy,25.88,625.7,Corn + Beans
Loamy,22.42,671.77,Corn + Beans
Loamy,21.45,683.81,Spinach + Strawberry
Loamy,24.18,541.08,Corn + Beans
Loamy,29.84,591.04,Spinach + Strawberry
Loamy,29.24,467.76,Spinach + Strawberry
Loamy,28.45,554.4,Cucumber + Watermelon
Loamy,21.5,560.71,Lettuce + Carrots
Loamy,25.31,670.5,Cucumber + Watermelon
Loamy,23.11,635.22,Cucumber + Watermelon
Loamy,20.06,648.97,Corn + Beans
Loamy,25.67,411.7,Cucumber + Watermelon
Loamy,22.93,646.85,Corn + Beans
Loamy,28.14,619.41,Spinach + Strawberry
Loamy,23.65,572.68,Spinach + Strawberry
Loamy,22.93,696.57,Cucumber + Watermelon
Loamy,23.71,635.36,Lettuce + Carrots
Loamy,27.83,430.23,Spinach + Strawberry
Loamy,21.95,461.56,Cucumber + Watermelon
Loamy,29.93,602.65,Spinach + Strawberry
Loamy,23.63,498.66,Lettuce + Carrots
Loamy,20.4,419.95,Cucumber + Watermelon
Loamy,21.17,489.69,Spinach + Strawberry
Loamy,26.4,698.28,Cucumber + Watermelon
Loamy,28.94,445.92,Spinach + Strawberry
Loamy,29.84,623.1,Corn + Beans
Loamy,25.2,653.81,Lettuce + Carrots
Loamy,29.73,538.61,Spinach + Strawberry
Loamy,27.81,422.25,Cucumber + Watermelon
Loamy,23.73,603.47,Spinach + Strawberry
Loamy,28.58,642.57,Corn + Beans
Loamy,29.73,653.68,Lettuce + Carrots
Loamy,28.26,400.19,Corn + Beans
Loamy,22.66,541.33,Spinach + Strawberry
Loamy,24.78,596.27,Lettuce + Carrots
Loamy,23.1,422.69,Corn + Beans
Loamy,25.45,443.87,Lettuce + Carrots
Loamy,25.33,690.97,Corn + Beans
Loamy,27.26,699.94,Lettuce + Carrots
Loamy,29.29,545.62,Lettuce + Carrots
Loamy,28.62,669.08,Spinach + Strawberry
Loamy,22.44,402.25,Corn + Beans
Loamy,24.81,414.17,Spinach + Strawberry
Loamy,29.98,609.77,Spinach + Strawberry
Loamy,22.52,511.66,Lettuce + Carrots
Loamy,23.7,494.73,Cucumber + Watermelon
